"eventId","Week","Year","Tour","EventName","Winner","WinnerPts","playerId","WorldRating","HomeRating","FieldStrength"
5290,44,2013,"SAM","Arturo Calle Colombian Classic presentado por Avianca","Jose de Jesus Rodriguez",6,12855,,,
5291,45,2013,"SAM","Lexus Peru Open","Julian Etulain",6,11911,,,
5292,47,2013,"SAM","Abierto de Chile","Tim O'Neal",6,9890,,,
5293,49,2013,"SAM","108° VISA Open de Argentina presentado por Peugeot","Marcelo Rozo",8,16591,4,3,7
5294,2,2013,"USA","Sony Open in Hawaii","Russell Henley",38,14578,185,18,203
5295,3,2013,"USA","Humana Challenge in partnership with the Clinton Foundation","Brian Gay",44,5951,220,21,241
5296,4,2013,"USA","Farmers Insurance Open","Tiger Woods",50,5321,286,30,316
5297,5,2013,"USA","Waste Management Phoenix Open","Phil Mickelson",52,1547,322,34,356
5298,6,2013,"USA","AT&T Pebble Beach National Pro-Am","Brandt Snedeker",40,8820,202,20,222
5299,7,2013,"USA","Northern Trust Open","John Merrick",60,9584,427,39,466
5301,9,2013,"USA","The Honda Classic","Michael Thompson",56,12946,399,35,434
5302,10,2013,"USA","Puerto Rico Open presented by seepuertorico.com","Scott Brown",24,11330,48,,48
5304,11,2013,"USA","Tampa Bay Championship","Kevin Streelman",52,8480,329,31,360
5305,12,2013,"USA","Arnold Palmer Invitational presented by MasterCard","Tiger Woods",66,5321,513,55,568
5306,13,2013,"USA","Shell Houston Open","D.A. Points",56,6761,373,36,409
5307,14,2013,"USA","Valero Texas Open","Martin Laird",44,9586,225,16,241
5308,16,2013,"USA","RBC Heritage","Graeme McDowell",52,7548,342,33,375
5309,17,2013,"USA","Zurich Classic of New Orleans","Billy Horschel",44,11276,230,19,249
5310,18,2013,"USA","Wells Fargo Championship","Derek Ernst",52,16711,327,31,358
5311,19,2013,"USA","THE PLAYERS Championship","Tiger Woods",80,5321,750,75,825
5312,20,2013,"USA","HP Byron Nelson Championship","Sangmoon Bae",40,10081,199,18,217
5313,21,2013,"USA","Crowne Plaza Invitational at Colonial","Boo Weekley",46,7403,253,25,278
5314,22,2013,"USA","The Memorial Tournament presented by Nationwide Insurance","Matt Kuchar",70,6169,570,61,631
5315,23,2013,"USA","FedEx St. Jude Classic","Harris English",34,14577,170,10,180
5316,25,2013,"USA","Travelers Championship","Ken Duke",48,493,283,32,315
5317,26,2013,"USA","AT&T National","Bill Haas",46,7900,261,19,280
5318,27,2013,"USA","The Greenbrier Classic","Jonas Blixt",42,8182,213,17,230
5319,28,2013,"USA","John Deere Classic","Jordan Spieth",36,14636,169,16,185
5320,29,2013,"USA","Sanderson Farms Championship","Woody Austin",24,3629,21,,21
5322,30,2013,"USA","RBC Canadian Open","Brandt Snedeker",46,8820,255,27,282
5323,31,2013,"USA","Reno-Tahoe Open","Gary Woodland",24,12577,29,1,30
5324,31,2013,"WGC","World Golf Championships-Bridgestone Invitational","Tiger Woods",76,5321,697,71,768
5325,33,2013,"USA","Wyndham Championship","Patrick Reed",44,14838,230,19,249
5326,34,2013,"USA","The Barclays","Adam Scott",74,6430,676,67,743
5327,35,2013,"USA","Deutsche Bank Championship","Henrik Stenson",74,5994,683,68,751
5328,37,2013,"USA","BMW Championship","Zach Johnson",72,6986,625,66,691
5329,38,2013,"USA","TOUR Championship by Coca-Cola","Henrik Stenson",60,5994,435,48,483
5330,41,2013,"USA","Frys.com Open","Jimmy Walker",28,7293,121,4,125
5331,42,2013,"USA","Shriners Hospitals for Children Open","Webb Simpson",36,11049,179,8,187
5332,43,2013,"USA"|"ASA","CIMB Classic","Ryan Moore",48,7489,,,
5333,44,2013,"WGC","World Golf Championship-HSBC Champions","Dustin Johnson",66,12422,530,44,574
5334,45,2013,"USA","The McGladrey Classic","Chris Kirk",32,12423,140,12,152
5335,46,2013,"USA","OHL Classic at Mayakoba","Harris English",24,14577,83,1,84
5336,4,2013,"AFR","Telkom PGA Pro-Am","Oliver Bekker",4,12819,,,
5337,5,2013,"CHA","The Gujarat Kensville Challenge 2013","Shiv Kapur",12,9553,2,1,3
5338,5,2013,"ADT","PGM CCM Rahman Putra Masters","James Byrne",6,13233,,,
5339,7,2013,"CHA","The Barclays Kenya Open","Jordi Garcia Pinto",12,12990,,,
5340,17,2013,"CHA","Challenge de Madrid","Francois Calmels",12,9292,,,
5341,18,2013,"CHA","Montecchia Golf Open presented by POLAROID","Brooks Koepka",12,16243,,,
5342,21,2013,"CHA","Telenet Trophy","Daniel Gaunt",12,6132,1,1,2
5343,22,2013,"CHA","Fred Olsen Challenge de Espana","Brooks Koepka",12,16243,,,
5345,25,2013,"CHA","Scottish Hydro Challenge hosted by Macdonald Hotels and Resorts","Brooks Koepka",12,16243,1,1,2
5346,26,2013,"CHA","Kärnten Golf Open presented by Mazda","Dylan Frittelli",12,11955,,,
5347,27,2013,"CHA","Bad Griesbach Challenge Tour by Hartl Resort","Andrea Pavan",12,12177,,,
5348,28,2013,"CHA","Swiss Challenge","Victor Riu",12,12217,,,
5349,29,2013,"CHA","Mugello Tuscany Open","Marco Crespi",12,7933,,,
5350,31,2013,"CHA","Finnish Challenge","Stuart Manley",12,8222,,,
5351,32,2013,"CHA","Norwegian Challenge","Jens Fahrbring",12,13445,,,
5352,34,2013,"CHA","Rolex Trophy","Jens Dantorp",12,14018,,,
5353,36,2013,"CHA","Open C�tes d'Armor Bretagne","Andrea Pavan",12,12177,,,
5354,37,2013,"CHA","Kharkov Superior Cup","Daan Huizing",12,12650,,,
5355,38,2013,"CHA","Kazakhstan Open","Johan Carlsson",12,11658,1,1,2
5358,43,2013,"CHA","National Bank of Oman Classic","Roope Kakko",12,9199,1,1,2
5359,44,2013,"CHA","Dubai Festival City Challenge Tour Grand Final hosted by Al Badia Golf Club","Shiv Kapur",16,9553,1,1,2
5361,23,2013,"CAN","Times Colonist Island Savings open","Stephen Gangluff",6,6642,,,
5363,27,2013,"CAN","Dakota Dunes Open","Wil Collins",6,8116,,,
5364,28,2013,"CAN","The Syncrude Boreal Open Presented by AECON","Riley Wheeldon",6,15447,,,
5365,29,2013,"CAN","The Players Cup","Carlos Sainz Jr",6,14519,,,
5366,34,2013,"CAN","The Great Waterway Classic","Hugo Leon",6,13619,,,
5367,36,2013,"CAN","Cape Breton Celtic Classic","Mackenzie Hughes",6,15556,,,
5368,37,2013,"CAN","Tour Championship of Canada","Max Gilbert",6,17684,,,
5371,16,2013,"AFR","Zimbabwe Open","Jake Roos",14,9879,3,2,5
5372,18,2013,"AFR","Investec Royal Swazi Open","James Kingston",14,2931,1,1,2
5374,20,2013,"AFR","Zambia Open","Adilson da Silva",14,5239,1,1,2
5376,21,2013,"KOR","Happiness Kwangju Bank Open","Kyungnam Kang",6,7578,2,2,4
5377,22,2013,"AFR","Lombard Insurance Classic","Merrick Bremner",6,10811,1,1,2
5378,22,2013,"KOR","Gunsan CC Open","Soomin Lee",6,14614,,,
5379,23,2013,"AFR","Vodacom Eastern Cape","Jacques Blaauw",4,13681,,,
5380,23,2013,"CHA","D+D Real Czech Challenge","Francois Calmels",12,9292,1,1,2
5382,30,2013,"ADT","Aboitiz Invitational","Elmer Salvador",6,6493,,,
5383,34,2013,"AFR","Vodacom Origins of Golf","Jean Hugo",6,6304,1,1,2
5384,35,2013,"AFR","Wild Waves Golf Challenge","Andrew Curlewis",4,9899,,,
5386,37,2013,"AFR","Vodacom Vodacom Orgins of Golf","Andrew Curlewis",4,9899,,,
5387,37,2013,"KOR","Dongbu Promi Open","Changwoo Lee",6,15061,1,1,2
5388,38,2013,"AFR","Platinum Classic","Neil Schietekat",4,11980,,,
5389,39,2013,"KOR","The 29th Shinhan Donghae Open","Sangmoon Bae",6,10081,3,2,5
5390,15,2013,"ASA","Solaire Open","Lin Wen-Tang",14,6433,1,1,2
5391,18,2013,"ASA","CIMB Niaga Indonesian Masters","Bernd Wiesberger",14,9531,23,17,40
5392,20,2013,"SAM","Mundo Maya Open","Jorge Fernandez-Valdes",6,16786,,,
5393,24,2013,"AFR","Polokwane Classic","Dean Burmester",4,14424,,,
5394,26,2013,"AFR","Vodacom Origins of Golf","Jacques Blaauw",6,13681,1,1,2
5395,27,2013,"AFR","Sun City Challenge","Adilson da Silva",6,5239,1,1,2
5396,32,2013,"AFR","Vodacom Origins of Golf","Heinrich Bruiners",6,11976,1,1,2
5397,41,2013,"AFR","Vodacom Origins of Golf Final","JJ Senekal",4,15185,,,
5398,42,2013,"AFR","BMG Classic","Ulrich Van Den Berg",6,6155,1,1,2
5399,38,2013,"ANZ","South Pacific Open Championship","Andre Stolz",6,5237,,,
5400,40,2013,"ANZ","WA Goldfields PGA Championship","Jack Wilson",6,15946,,,
5401,41,2013,"ANZ","John Hughes / Nexus Risk Services WA Open Championship","Josh Geary",6,9903,,,
5402,45,2013,"ONE"|"ANZ","Australian PGA Championship presented by Coca Cola","Adam Scott",22,6430,50,38,88
5403,46,2013,"ANZ","Talisker Masters","Adam Scott",26,6430,68,51,119
5404,47,2013,"ANZ","Gloria Jean's NSW Open","Aron Price",6,9772,,,
5405,48,2013,"ONE"|"ANZ","Emirates Australian Open","Rory McIlroy",32,10091,88,66,154
5406,24,2013,"ASA","Queens Cup","Prayad Marksaeng",14,3990,5,4,9
5407,25,2013,"ASA","World Wide Holdings Selangor Masters","Pariya Junhasavasdikul",14,7860,2,2,4
5408,37,2013,"ASA","Yeangder Tournament Players' Championship","Thaworn Wiratchant",14,3602,4,3,7
5409,40,2013,"ASA","Mercuries Taiwan Open","Scott Hend",14,1888,4,3,7
5410,41,2013,"KOR"|"ASA","CJ Invitational hosted by KJ Choi","Sunghoon Kang",14,7881,,,
5411,42,2013,"ASA","Venetian Macau Open","Scott Hend",14,1888,20,15,35
5412,45,2013,"ASA","Hero Indian Open","Siddikur Rahman",14,13766,7,5,12
5413,46,2013,"ASA","Resorts World Manila Masters","Liang Wen-chong",14,6470,2,2,4
5414,48,2013,"ASA","Indonesian Open","Gaganjeet Bhullar",14,10766,15,11,26
